date,NO,NO2,CO2,PM10,TEMP,HUMI,Month,Date,Saison
2018-06-20T23:00:00+02:00,28.708333333333332,47.875,495.5416666666667,57.625,24.995833333333334,55.27916666666667,June,2018-06-20,Spring
2018-06-21T23:00:00+02:00,14.416666666666666,34.791666666666664,492.4583333333333,54.666666666666664,24.354166666666668,47.333333333333336,June,2018-06-21,Summer
2018-06-22T23:00:00+02:00,13.5,35.5,498.125,60.625,22.9875,31.229166666666668,June,2018-06-22,Summer
2018-06-23T23:00:00+02:00,5.625,29.916666666666668,474.2083333333333,40.166666666666664,22.808333333333334,34.041666666666664,June,2018-06-23,Summer
2018-06-24T23:00:00+02:00,4.583333333333333,36.125,467.5,31.708333333333332,23.145833333333332,36.5,June,2018-06-24,Summer
2018-06-25T23:00:00+02:00,11.625,36.375,484.5416666666667,53.0,23.5625,44.73333333333333,June,2018-06-25,Summer
2018-06-26T23:00:00+02:00,12.875,49.291666666666664,496.0833333333333,59.291666666666664,24.75,41.32083333333333,June,2018-06-26,Summer
2018-06-27T23:00:00+02:00,12.458333333333334,49.916666666666664,501.1666666666667,73.58333333333333,25.5625,43.5,June,2018-06-27,Summer
2018-06-28T23:00:00+02:00,10.958333333333334,48.625,500.4583333333333,70.20833333333333,26.058333333333334,42.4125,June,2018-06-28,Summer
2018-06-29T23:00:00+02:00,9.5,48.625,489.0,81.16666666666667,26.916666666666668,41.550000000000004,June,2018-06-29,Summer
2018-06-30T23:00:00+02:00,5.625,45.083333333333336,472.2916666666667,53.041666666666664,27.099999999999998,45.82916666666667,June,2018-06-30,Summer
2018-07-01T23:00:00+02:00,5.375,45.666666666666664,449.4583333333333,58.458333333333336,28.445833333333336,45.29583333333333,July,2018-07-01,Summer
2018-07-02T23:00:00+02:00,16.541666666666668,66.83333333333333,491.5,67.58333333333333,28.1375,36.06666666666667,July,2018-07-02,Summer
2018-07-03T23:00:00+02:00,16.75,61.625,496.4166666666667,62.0,28.125,47.61666666666667,July,2018-07-03,Summer
2018-07-04T23:00:00+02:00,23.541666666666668,66.125,505.75,62.458333333333336,28.175,45.862500000000004,July,2018-07-04,Summer
